,Location,Year,Avg_MinTemp,Avg_MaxTemp,Avg_Rainfall,Avg_Evaporation,Avg_Sunshine,Avg_WindSpeed,RainyDays_Percent,HeavyRain_Percent,Rainfall_std,Avg_TempRange,TempRange_std
0,Adelaide,2008,11.090909090909092,21.04060606060606,1.4870129870129871,5.895,7.70925925925926,38.77777777777778,0.3433734939759036,0.012048192771084338,3.83434260027724,9.978658536585366,3.9146220346412073
1,Adelaide,2009,13.1707182320442,23.48038674033149,1.4311111111111112,6.465882352941176,8.086516853932585,38.18156424581006,0.31767955801104975,0.008287292817679558,3.760034505988899,10.309668508287293,4.603032891601601
2,Adelaide,2010,12.675208913649024,22.560445682451252,1.6687323943661971,5.894736842105263,7.313994169096209,36.502808988764045,0.3565459610027855,0.011142061281337047,5.419780399156187,9.88523676880223,4.141428435080111
3,Adelaide,2011,12.987076923076923,22.747384615384615,1.5553459119496855,5.440088105726873,7.375851393188855,36.953416149068325,0.3415384615384615,0.006153846153846154,3.7099431202751942,9.760307692307691,4.337027616583568
4,Adelaide,2012,12.074766355140186,22.364485981308412,1.5987179487179488,5.467543859649123,9.259615384615385,38.156739811912225,0.34579439252336447,0.012461059190031152,4.514214593845861,10.289719626168225,4.28677328927538
5,Adelaide,2013,12.754071661237784,22.763192182410425,1.622456140350877,5.59626168224299,7.3769230769230765,39.28664495114006,0.33876221498371334,0.006514657980456026,3.9983166707570907,10.009120521172639,4.759021176389385
6,Adelaide,2014,12.725925925925926,23.40883190883191,1.5590643274853802,5.854098360655738,8.787387387387387,37.313390313390315,0.30484330484330485,0.014245014245014245,5.492043538652434,10.682905982905982,4.705527884732239
7,Adelaide,2015,12.484958217270195,23.212813370473537,1.1070028011204482,6.014035087719298,,33.96348314606742,0.3286908077994429,0.005571030640668524,3.154643666996713,10.727855153203343,4.7693567514431345
8,Adelaide,2016,12.34672131147541,22.863661202185792,2.2426229508196722,,,34.83606557377049,0.39344262295081966,0.01912568306010929,6.1203758238009955,10.516939890710383,4.545434250749188
9,Adelaide,2017,13.688439306358381,24.892485549132946,1.207017543859649,,,29.55294117647059,0.2254335260115607,0.017341040462427744,4.082553683914438,11.204046242774567,4.462366646844747
10,Albany,2008,14.486666666666668,20.70967741935484,0.9419354838709677,5.72258064516129,9.393548387096773,,0.41935483870967744,0.0,2.885454810314241,6.246666666666667,2.098231329630667
11,Albany,2009,12.606648199445983,19.554520547945206,2.5183561643835617,4.131232876712329,6.8313019390581715,,0.4575342465753425,0.021917808219178082,5.6581185020012175,6.923822714681441,3.0780383023453157
12,Albany,2010,12.713150684931508,19.82,2.0334246575342467,4.055555555555555,6.733884297520661,,0.4054794520547945,0.0136986301369863,4.723739502539474,7.1068493150684935,3.5956448307931765
13,Albany,2011,12.984179104477612,20.204776119402986,2.674626865671642,3.9134328358208954,6.525825825825826,,0.5044776119402985,0.026865671641791045,5.609939406516353,7.2205970149253735,3.398840891095826
14,Albany,2012,12.733333333333333,20.653614457831324,2.5218562874251496,3.8653846153846154,6.911974110032363,,0.41317365269461076,0.023952095808383235,5.714695888356771,7.955182926829269,3.5462394213749486
15,Albany,2013,13.000301204819278,19.99011976047904,2.8680722891566264,3.753230769230769,6.5205696202531644,,0.5,0.02694610778443114,5.9024808052538305,6.957530120481928,3.034460276272258
16,Albany,2014,13.21830985915493,20.25611111111111,1.8168067226890756,4.1194444444444445,6.674515235457064,,0.40166204986149584,0.01662049861495845,4.760706195744689,7.015819209039548,3.110856167927674
17,Albany,2015,13.193854748603352,20.269273743016758,1.6774104683195592,4.168539325842697,6.428034682080924,,0.42857142857142855,0.01098901098901099,4.263643931444588,7.101983002832861,3.2182931546482414
18,Albany,2016,12.52627118644068,19.432748538011698,2.468802228412256,5.60383141762452,5.653333333333333,,0.494475138121547,0.011049723756906077,4.66790138177095,6.6727544910179635,3.1718175584716435
19,Albany,2017,14.194890510948905,20.901234567901234,1.4922580645161292,6.432258064516129,,,0.34545454545454546,0.012121212121212121,3.7012903240411155,6.706716417910448,3.4426165464503646
20,Albury,2008,13.68,27.383333333333333,1.8620689655172413,,,42.56666666666667,0.36666666666666664,0.0,4.47472375788267,13.703333333333335,4.681178994826965
21,Albury,2009,9.671625344352618,23.241208791208788,1.3112947658402203,,,34.651933701657455,0.30494505494505497,0.008241758241758242,3.453840720453875,13.581818181818182,4.881547168924104
22,Albury,2010,9.533333333333333,21.747899159663866,2.6108262108262106,,,33.38935574229692,0.33519553072625696,0.036312849162011177,7.65551134065216,12.21728045325779,4.199413037054299
23,Albury,2011,9.420909090909092,21.826060606060608,2.576219512195122,,,31.984662576687118,0.3181818181818182,0.02727272727272727,8.444764679729655,12.405151515151514,4.126053790946981
24,Albury,2012,8.013473053892216,21.158982035928144,2.2084084084084084,,,31.41566265060241,0.31137724550898205,0.029940119760479042,8.567938354115832,13.14550898203593,4.183963472684712
25,Albury,2013,8.792469879518071,22.40840840840841,1.5939577039274926,,,33.95495495495496,0.34534534534534533,0.012012012012012012,5.219354399705079,13.627710843373492,4.952275274404404
26,Albury,2014,9.86,23.400555555555556,1.6627450980392158,,,32.45125348189415,0.31666666666666665,0.019444444444444445,5.858834323846398,13.540555555555557,4.847728092320375
27,Albury,2015,9.557534246575342,22.77972602739726,1.703013698630137,,,32.441095890410956,0.336986301369863,0.01643835616438356,4.909993924967568,13.22219178082192,4.519405729731759
28,Albury,2016,10.234972677595628,22.73415300546448,2.199453551912568,,,34.19672131147541,0.4098360655737705,0.01912568306010929,5.362385456377431,12.499180327868851,5.08120624070146
29,Albury,2017,10.676608187134503,25.04502923976608,1.1023809523809522,,,29.12280701754386,0.23391812865497075,0.005847953216374269,3.876722369869706,14.368421052631579,4.432665824962387
30,AliceSprings,2008,20.903225806451612,34.641935483870974,1.7677419354838708,10.464516129032257,9.100000000000001,42.87096774193548,0.2903225806451613,0.03225806451612903,4.790573180512897,13.738709677419356,4.399899803355741
31,AliceSprings,2009,14.299452054794521,29.954246575342463,0.21041095890410957,10.190581717451524,10.130446927374301,43.30193905817175,0.06301369863013699,0.0,1.2742595763860052,15.654794520547945,4.424322171213934
32,AliceSprings,2010,12.725479452054795,26.624657534246577,2.1084931506849314,7.0207282913165265,9.056598240469208,39.45170454545455,0.20821917808219179,0.030136986301369864,7.531637241420624,13.89917808219178,4.767665171834854
33,AliceSprings,2011,12.584477611940299,28.565671641791045,1.093134328358209,7.5075075075075075,8.991238670694864,40.31111111111111,0.1791044776119403,0.01791044776119403,4.444243470694654,15.981194029850746,5.251743800042194
34,AliceSprings,2012,10.989253731343284,28.833432835820897,0.5534328358208955,8.389090909090909,9.824534161490684,40.981818181818184,0.09850746268656717,0.008955223880597015,2.9949626132236125,17.84417910447761,4.7880296565265414
35,AliceSprings,2013,13.471513353115727,30.365281899109792,0.511572700296736,9.318562874251498,9.519033232628399,40.907738095238095,0.08605341246290801,0.005934718100890208,2.78958781862553,16.893768545994064,5.101142762360596
