,Location,Month,Avg_MinTemp,Avg_MaxTemp,Avg_Rainfall,RainyDays_Percent,HeavyRain_Percent,Avg_TempRange
0,Adelaide,1,18.07919708029197,31.006204379562046,0.7725925925925926,0.14963503649635038,0.0036496350364963502,12.927007299270073
1,Adelaide,2,17.85,30.07098214285714,0.8837837837837839,0.13392857142857142,0.008928571428571428,12.220982142857142
2,Adelaide,3,15.947777777777777,27.073703703703703,1.2136363636363636,0.23703703703703705,0.014814814814814815,11.125925925925927
3,Adelaide,4,12.922881355932205,23.285169491525423,1.4343347639484978,0.2923728813559322,0.012711864406779662,10.36228813559322
4,Adelaide,5,10.755598455598454,19.16833976833977,2.2526315789473683,0.43243243243243246,0.015444015444015444,8.412741312741312
5,Adelaide,6,8.174031007751939,16.24186046511628,2.234645669291339,0.4806201550387597,0.01937984496124031,8.067829457364342
6,Adelaide,7,7.933457249070631,15.368029739776953,2.944274809160305,0.550185873605948,0.011152416356877323,7.43457249070632
7,Adelaide,8,8.098473282442749,16.713358778625953,2.4764940239043827,0.5152671755725191,0.011450381679389313,8.614885496183206
8,Adelaide,9,10.097338403041825,19.629657794676806,1.7556420233463035,0.44106463878326996,0.019011406844106463,9.532319391634982
9,Adelaide,10,11.946840148698884,23.28252788104089,0.9154716981132075,0.25555555555555554,0.003703703703703704,11.358582089552238
10,Adelaide,11,14.494716981132076,26.46566037735849,0.7412213740458015,0.2490566037735849,0.0,11.970943396226415
11,Adelaide,12,16.015481171548117,28.082426778242677,1.217167381974249,0.2510460251046025,0.012552301255230125,12.06694560669456
12,Albany,1,16.801119402985073,23.342335766423357,0.8876363636363637,0.2302158273381295,0.007194244604316547,6.5034090909090905
13,Albany,2,17.12922374429224,22.98080357142857,0.6928251121076233,0.25,0.004464285714285714,5.850684931506849
14,Albany,3,16.078651685393258,22.66021897810219,1.1562962962962962,0.35766423357664234,0.0072992700729927005,6.637078651685393
15,Albany,4,14.294298245614035,21.218884120171673,2.0663793103448276,0.4364406779661017,0.01694915254237288,6.917777777777777
16,Albany,5,11.637090909090908,19.348736462093864,2.546909090909091,0.5306859205776173,0.01444043321299639,7.727636363636363
17,Albany,6,10.351417004048583,17.80534351145038,3.9231660231660235,0.5648854961832062,0.04198473282442748,7.363562753036437
18,Albany,7,9.176326530612243,16.690495867768593,3.8391129032258067,0.6411290322580645,0.020161290322580645,7.459832635983264
19,Albany,8,9.303643724696355,17.351260504201683,3.7754032258064516,0.6532258064516129,0.036290322580645164,7.9957805907173
20,Albany,9,9.9925,17.81791666666667,3.5941666666666667,0.5833333333333334,0.03333333333333333,7.8254166666666665
21,Albany,10,12.021052631578947,19.34186991869919,1.9822580645161292,0.45564516129032256,0.020161290322580645,7.33265306122449
22,Albany,11,13.772689075630252,21.026582278481012,1.4623430962343096,0.3305439330543933,0.008368200836820083,7.2
23,Albany,12,14.974576271186441,21.051476793248945,1.0769874476987447,0.2892561983471074,0.008264462809917356,6.097413793103448
24,Albury,1,16.874193548387094,32.9258064516129,1.4752688172043011,0.18996415770609318,0.014336917562724014,16.051612903225806
25,Albury,2,16.746575342465754,31.404072398190046,2.3722222222222222,0.2398190045248869,0.03619909502262444,14.681735159817352
26,Albury,3,13.72169117647059,27.91691176470588,2.1561338289962824,0.24175824175824176,0.018315018315018316,14.221033210332104
27,Albury,4,9.502083333333333,22.691666666666666,2.0008333333333335,0.26666666666666666,0.020833333333333332,13.189583333333333
28,Albury,5,5.4554347826086955,17.372101449275362,1.6167272727272728,0.3188405797101449,0.014492753623188406,11.916666666666666
29,Albury,6,3.4359848484848485,13.987878787878788,1.9756653992395439,0.48863636363636365,0.007575757575757576,10.551893939393938
30,Albury,7,3.6544354838709676,13.326209677419355,2.2564516129032257,0.5604838709677419,0.016129032258064516,9.671774193548387
31,Albury,8,3.7752032520325205,14.866801619433199,2.2398373983739837,0.5303643724696356,0.016194331983805668,11.104065040650406
32,Albury,9,5.832034632034632,18.222844827586208,2.148471615720524,0.3706896551724138,0.04310344827586207,12.388311688311688
33,Albury,10,8.321810699588477,22.307786885245903,1.4958333333333333,0.27049180327868855,0.01639344262295082,14.00164609053498
34,Albury,11,12.552916666666667,27.229166666666668,2.1933333333333334,0.225,0.03333333333333333,14.676250000000001
35,Albury,12,14.543319838056679,29.485425101214574,1.3146341463414635,0.2591093117408907,0.008097165991902834,14.942105263157893
36,AliceSprings,1,21.78956834532374,36.16317689530686,2.0934782608695652,0.2158273381294964,0.04316546762589928,14.388086642599278
37,AliceSprings,2,20.325221238938052,35.67389380530974,1.8601769911504424,0.15486725663716813,0.03982300884955752,15.348672566371683
38,AliceSprings,3,18.181720430107525,33.372401433691756,0.8437275985663083,0.12544802867383512,0.014336917562724014,15.19068100358423
39,AliceSprings,4,13.019327731092437,28.777310924369747,0.6953586497890296,0.08823529411764706,0.004201680672268907,15.757983193277312
40,AliceSprings,5,7.829856115107913,23.715827338129497,0.5068592057761733,0.07194244604316546,0.0,15.885971223021583
41,AliceSprings,6,4.385606060606061,20.093560606060606,0.17424242424242425,0.07575757575757576,0.0,15.707954545454545
42,AliceSprings,7,3.7620967741935485,19.993951612903224,0.7185483870967743,0.08064516129032258,0.012096774193548387,16.231854838709676
43,AliceSprings,8,5.877822580645161,23.941129032258065,0.19677419354838707,0.056451612903225805,0.0,18.063306451612902
44,AliceSprings,9,10.3425,27.972916666666666,0.4516666666666667,0.11666666666666667,0.0,17.63041666666667
45,AliceSprings,10,13.828629032258064,31.824193548387097,0.34919354838709676,0.06854838709677419,0.0,17.99556451612903
46,AliceSprings,11,18.10878661087866,34.83208333333334,0.7958333333333333,0.1375,0.0125,16.723012552301256
47,AliceSprings,12,20.41844262295082,35.2922131147541,1.7851239669421488,0.25,0.020491803278688523,14.873770491803278
48,BadgerysCreek,1,17.537037037037038,30.666420664206644,2.697744360902256,0.3382352941176471,0.029411764705882353,13.10631970260223
49,BadgerysCreek,2,17.499545454545455,29.104090909090907,2.970232558139535,0.4090909090909091,0.05454545454545454,11.604545454545455
50,BadgerysCreek,3,15.73211678832117,27.072,3.590441176470588,0.4072727272727273,0.05454545454545454,11.36094890510949
51,BadgerysCreek,4,12.098319327731092,23.844117647058823,2.7746835443037976,0.4327731092436975,0.03361344537815126,11.745798319327731
52,BadgerysCreek,5,7.469548872180451,20.765543071161048,1.441860465116279,0.250936329588015,0.018726591760299626,13.283834586466165
53,BadgerysCreek,6,6.345669291338583,17.62490272373541,3.102380952380952,0.3735408560311284,0.038910505836575876,11.265354330708663
54,BadgerysCreek,7,4.359109311740891,17.40485829959514,1.0097560975609756,0.32388663967611336,0.012145748987854251,13.045748987854251
55,BadgerysCreek,8,4.9454166666666675,19.269583333333333,1.3725321888412019,0.20416666666666666,0.025,14.324166666666667
56,BadgerysCreek,9,7.867226890756303,22.426890756302523,1.1322033898305084,0.2647058823529412,0.01680672268907563,14.559663865546218
57,BadgerysCreek,10,10.509166666666665,24.980991735537188,1.3864978902953584,0.2644628099173554,0.008264462809917356,14.483749999999999
58,BadgerysCreek,11,14.29353448275862,27.735775862068966,2.596506550218341,0.375,0.03879310344827586,13.442241379310344
59,BadgerysCreek,12,15.874619289340103,28.37878787878788,2.2928571428571427,0.34673366834170855,0.04020100502512563,12.447448979591837
60,Ballarat,1,11.923188405797102,26.831159420289854,1.2380952380952381,0.20652173913043478,0.018115942028985508,14.907971014492755
61,Ballarat,2,12.263636363636364,26.331221719457012,1.1787037037037036,0.21266968325791855,0.013574660633484163,14.089090909090908
62,Ballarat,3,10.716906474820144,23.018705035971223,1.3812274368231046,0.28776978417266186,0.014388489208633094,12.30179856115108
63,Ballarat,4,7.86375,18.4325,1.5233333333333334,0.425,0.016666666666666666,10.56875
64,Ballarat,5,5.412544802867383,14.205376344086023,1.4114695340501793,0.5627240143369175,0.010752688172043012,8.792831541218638
65,Ballarat,6,3.5456603773584905,11.228679245283018,1.7456603773584907,0.6415094339622641,0.0037735849056603774,7.683018867924528
66,Ballarat,7,3.4274193548387095,10.45,2.1838709677419357,0.6733870967741935,0.0,7.02258064516129
67,Ballarat,8,3.653225806451613,11.709274193548387,2.232258064516129,0.6290322580645161,0.008064516129032258,8.056048387096775
68,Ballarat,9,4.915189873417722,14.390717299578059,2.6246808510638298,0.5611814345991561,0.02531645569620253,9.475527426160337
69,Ballarat,10,6.241129032258065,17.81619433198381,1.7362903225806452,0.4596774193548387,0.012096774193548387,11.55587044534413
70,Ballarat,11,8.647916666666667,21.259583333333335,1.9408333333333334,0.38333333333333336,0.016666666666666666,12.611666666666668
