,Location,Avg_Mintemp,Avg_MaxTemp,Avg_Rainfall,Avg_Evaporation,Avg_Sunshine,Avg_WindSpeed,RainDays_Percentage,HeavyRainDays_Percentage,Rainfall_std,Avg_TempRange,TempRange_std,Wind_Dir,Moisture_Index,Rainfall_std_norm,Temp_std_norm,Climate_Variability_Score
0,Adelaide,12.628367875647669,22.945401554404143,1.572185430463576,5.8249241964827165,7.7520023557126025,36.53081186827519,0.3347361605697637,0.011006798316607317,4.588956008666136,10.318691286038225,4.501224414426917,WSW,-4.2527387660191405,0.11872854077439247,0.7251900365696498,0.4219592886720211
1,Albany,12.948461278322624,20.072587131367293,2.2550734312416556,4.2072733918128655,6.658764940239044,,0.44396551724137934,0.01823607427055703,5.106655871010229,7.08714969241285,3.2878744765918033,,-1.95219996057121,0.15188933172851835,0.44208630934063814,0.29698782053457823
2,Albury,9.52089850249584,22.6309634551495,1.9257104647275158,,,32.95301566144619,0.3297907671869811,0.019926934573231483,6.249052178706374,13.114214380825565,4.643736648280959,W,,0.22506448185266117,0.7584415688125224,0.4917530253325918
3,AliceSprings,13.125181518151816,29.244191419141913,0.8693553719008265,9.029929078014185,9.581944444444444,40.53371351895337,0.12009237875288684,0.012207192345760474,4.432702591296719,16.121327170683394,4.976520242117256,ESE,-8.160573706113357,0.10871987110661673,0.8360879862539876,0.4724039286803022
4,BadgerysCreek,11.13689986282579,24.023111111111113,2.207924921793535,,,33.60989010989011,0.3320806286299966,0.030748206354629312,7.431758602244741,12.88318462594372,4.952732155127754,SW,,0.30082165956075585,0.8305376533447598,0.5656796564527579
5,Ballarat,7.355302279484638,18.274793524942186,1.6888299635399402,,,44.978695073235684,0.4488110964332893,0.011889035667107,4.675222287576608,10.91645736946464,5.08654359655647,N,,0.1242542483308668,0.8617590814201151,0.493006664875491
6,Bendigo,8.591064952192548,21.616683151994724,1.6214521452145214,3.851729957805907,,38.849283094364786,0.35794330916282135,0.017139090309822018,5.1881930872814275,13.022724274406333,4.978217955026782,SSE,-2.230277812591386,0.15711212350502732,0.8364841035137035,0.4967981135093654
7,Brisbane,16.410998415213946,26.441526765917008,3.160536398467433,5.4088478676002545,8.082781882428526,28.21137952956135,0.35336918696614994,0.043024359379943054,11.602226714701484,10.025674389082832,3.0533932694222985,E,-2.2483114691328216,0.5679571782604043,0.38737620333998507,0.47766669080019464
8,Cairns,21.19919651824573,29.54434404283802,5.7653171390013505,6.211975821684926,7.575995316159251,38.06799057556378,0.44712182061579653,0.07663989290495314,18.347195785275282,8.346267157683293,2.4509567194995667,SE,-0.44665868268357567,1.0,0.24681326483074123,0.6234066324153706
9,Canberra,6.8276882508057435,20.98064421669107,1.7350382128159907,4.404717498628634,7.403240740740741,40.0821740537043,0.29022820362785257,0.01989467524868344,5.709046233214635,14.138756962767518,5.032572971400391,NW,-2.6696792858126432,0.1904748951539987,0.8491664363256362,0.5198206657398174
10,Cobar,13.1203418230563,25.834081017743554,1.1292617449664428,6.720797292215118,8.674363636363635,36.728813559322035,0.20214190093708165,0.012717536813922356,4.409302640293081,12.721146112600536,3.7926113251769102,SW,-5.591535547248675,0.10722100865752324,0.559853557393761,0.3335372830256421
11,CoffsHarbour,14.365774313791935,23.91557516118086,5.054591836734694,3.9042672655811343,7.362374245472837,39.23219696969697,0.4083982390789028,0.06298679309177108,17.446439574632542,9.553310696095076,3.5664123359435735,NE,1.15032457115356,0.9423028851765441,0.5070758920636335,0.7246893886200888
12,Dartmoor,8.619816138917264,19.694427454977912,2.148553929908132,3.353096646942801,6.412714914034386,38.89690370874447,0.5334692490655794,0.01563030920829086,4.984170359340999,11.05999319033027,5.489401765568162,SSW,-1.204542717034669,0.14404363436058507,0.9557555828707658,0.5498996086156754
13,Darwin,23.210529614540896,32.54097744360902,5.094047619047619,6.319088591459528,8.499310128566949,40.58235480799746,0.3276942355889724,0.07800751879699248,16.45247818767934,9.331087433406456,2.657738221398325,E,-1.2250409724119091,0.8786355980731902,0.29506036328446594,0.586847980678828
14,GoldCoast,17.34149043303122,25.752970795568984,3.7289329685362516,,,42.472538860103626,0.374496644295302,0.04865771812080537,12.828752243142327,8.406917394224312,2.475527345934584,SSE,,0.6465211486357572,0.2525461830163359,0.44953366582604654
15,Hobart,9.079140526976161,17.866677125823657,1.604272698711907,3.601226029550456,6.578323881537492,47.53139791732408,0.4432245922208281,0.012233375156838143,4.40816987254031,8.786852839661124,3.423850063506037,NNW,-1.996953330838549,0.1071484502556741,0.47381268461556997,0.290480567435622
16,Katherine,20.534983498349835,34.93903708523097,3.1355987055016183,7.333197556008146,,38.7583278902678,0.2065426555484285,0.048749198203976905,11.312976353901576,14.405819397993312,3.9596694528958407,E,-4.1975988505065285,0.5494295110818567,0.5988322371186834,0.57413087410027
17,Launceston,7.833818181818182,18.95623140495868,2.0122185430463575,6.166666666666667,,35.63087695898633,0.36261558784676357,0.01750330250990753,5.396841884889165,11.120317670416942,3.666006944428226,NNW,-4.154448123620309,0.17047693130886088,0.5303137099385217,0.3503953206236913
18,Melbourne,11.788126540673789,20.860147904683647,1.8377719756309834,4.595893223819302,6.465776499589154,45.42544403139199,0.3712525667351129,0.015605749486652977,5.188695449428495,9.07202136400986,4.148689603151834,N,-2.758121248188319,0.15714430185266443,0.6429351849907025,0.40003974342168347
19,MelbourneAirport,9.973944832170156,20.491857760053175,1.4519774011299436,4.644377910844977,6.381283244680851,46.91917167668671,0.3762047191758059,0.012628780325689598,4.5927248904873395,10.517912927883017,4.798847534977373,N,-3.192400509715033,0.11896995305068292,0.7946326698199542,0.45680131143531855
